Order ID,Date,Product,Town,Country Code,UnitCost,UnitPrice,SalesQuantity,TotalCost,TotalPrice,TotalProfit
1,01/01/2016,Chicken Fajita Wrap,Potsdam,DEU,1,4.98,250,249,1245,996
2,02/01/2016,Yoghurt,Odense,DNK,1.08,5.39,112,120.74,603.68,482.94
3,03/01/2016,Green Tea,Stuttgart,DEU,0.62,3.12,267,166.61,833.04,666.43
4,04/01/2016,Ham & Cheese Toastie,Graz,AUT,0.44,2.19,253,110.81,554.07,443.26
5,05/01/2016,Almond Croissant,Sydney,AUS,0.82,4.11,254,208.79,1043.94,835.15
6,06/01/2016,Peach Juice,Hamburg,DEU,0.32,1.6,186,59.52,297.6,238.08
7,07/01/2016,Granola Bar,Glasgow,GBR,0.47,2.35,250,117.5,587.5,470
8,08/01/2016,Butter Croissant,Vancouver,CAN,0.52,2.61,177,92.39,461.97,369.58
9,09/01/2016,Tea,Seattle,USA,0.38,1.89,471,178.04,890.19,712.15
10,10/01/2016,Still Water,Toronto,CAN,0.98,4.88,119,116.14,580.72,464.58
11,11/01/2016,Peach Juice,Sydney,AUS,1,5.02,470,471.88,2359.4,1887.52
12,12/01/2016,Almond Croissant,Sydney,AUS,0.68,3.38,471,318.4,1591.98,1273.58
13,13/01/2016,Chicken Salad Sandwich,Birmingham,GBR,0.98,4.91,311,305.4,1527.01,1221.61
14,14/01/2016,Orange Juice,Seattle,USA,0.99,4.96,479,475.17,2375.84,1900.67
15,15/01/2016,Green Tea,Berlin,DEU,0.74,3.7,477,352.98,1764.9,1411.92
16,16/01/2016,Butter Croissant,Galway,IRL,0.99,4.97,209,207.75,1038.73,830.98
17,17/01/2016,Ham & Cheese Toastie,Auckland,NZL,0.7,3.48,216,150.34,751.68,601.34
18,18/01/2016,Toast,Stuttgart,DEU,0.98,4.88,311,303.54,1517.68,1214.14
19,19/01/2016,Toast,Auckland,NZL,1.04,5.19,343,356.03,1780.17,1424.14
20,20/01/2016,Ham & Cheese Toastie,Copenhagan,DNK,0.49,2.47,469,231.69,1158.43,926.74
21,21/01/2016,Chocolate Twist,Stockholm,SWE,0.79,3.97,196,155.62,778.12,622.5
22,22/01/2016,Lemon & Ginger Tea,Sønderborg,DNK,0.41,2.05,311,127.51,637.55,510.04
23,23/01/2016,BLT Sandwich,Kraków,POL,0.46,2.28,179,81.62,408.12,326.5
24,24/01/2016,Peach Juice,Berlin,DEU,0.77,3.84,388,297.98,1489.92,1191.94
25,25/01/2016,Yoghurt,Berlin,DEU,0.83,4.16,347,288.7,1443.52,1154.82
26,26/01/2016,Toast,Salzburg,AUT,0.35,1.74,353,122.84,614.22,491.38
27,27/01/2016,Porridge,Lausanne,CHE,0.3,1.52,380,115.52,577.6,462.08
28,28/01/2016,Chicken Salad Sandwich,Vancouver,CAN,0.61,3.07,343,210.6,1053.01,842.41
29,29/01/2016,Green Tea,Glasgow,GBR,0.43,2.13,340,144.84,724.2,579.36
30,30/01/2016,Yoghurt,Brussels,BEL,0.79,3.94,232,182.82,914.08,731.26
31,31/01/2016,Lemon & Ginger Tea,Toronto,CAN,0.34,1.72,405,139.32,696.6,557.28
32,01/02/2016,Peach Juice,Seattle,USA,0.65,3.26,115,74.98,374.9,299.92
33,02/02/2016,Still Water,Katowice,POL,0.38,1.91,281,107.34,536.71,429.37
34,03/02/2016,Blueberry Muffin,Lille,FRA,0.43,2.15,470,202.1,1010.5,808.4
35,04/02/2016,Granola Bar,Portland,USA,0.55,2.75,131,72.05,360.25,288.2
36,05/02/2016,Granola Bar,Strasbourg,FRA,0.41,2.07,259,107.23,536.13,428.9
37,06/02/2016,Peach Juice,Salzburg,AUT,0.91,4.53,152,137.71,688.56,550.85
38,07/02/2016,Butter Croissant,Geneva,CHE,0.65,3.27,305,199.47,997.35,797.88
39,08/02/2016,Orange Juice,Cardiff,GBR,0.49,2.45,361,176.89,884.45,707.56
40,09/02/2016,Apple Juice,Dresden,DEU,0.7,3.51,365,256.23,1281.15,1024.92
41,10/02/2016,Porridge,Portland,USA,0.73,3.67,132,96.89,484.44,387.55
42,11/02/2016,Coffee,Toronto,CAN,0.34,1.68,497,166.99,834.96,667.97
43,12/02/2016,Yoghurt,Auckland,NZL,0.75,3.74,298,222.9,1114.52,891.62
44,13/02/2016,Granola Bar,Berlin,DEU,0.75,3.73,359,267.81,1339.07,1071.26
45,14/02/2016,Almond Croissant,Sydney,AUS,0.93,4.64,299,277.47,1387.36,1109.89
46,15/02/2016,Apple Juice,Albuquerque,USA,1.03,5.17,382,394.99,1974.94,1579.95
47,16/02/2016,Porridge,Birmingham,GBR,0.93,4.66,177,164.96,824.82,659.86
48,17/02/2016,Lemon & Ginger Tea,Toulouse,FRA,0.77,3.84,149,114.43,572.16,457.73
49,18/02/2016,Tomato Juice,Boston,USA,0.8,4.01,466,373.73,1868.66,1494.93
50,19/02/2016,Orange Juice,Gdańsk,POL,0.83,4.17,477,397.82,1989.09,1591.27
51,20/02/2016,Chocolate Chip Muffin,Kirkland,USA,0.5,2.5,338,169,845,676
52,21/02/2016,Ham & Cheese Toastie,Paris,FRA,0.69,3.44,401,275.89,1379.44,1103.55
53,22/02/2016,Granola Bar,Edinburgh,GBR,1.03,5.13,215,220.59,1102.95,882.36
54,23/02/2016,Tuna Melt Panini,Brussels,BEL,1.02,5.11,389,397.56,1987.79,1590.23
55,24/02/2016,Peach Juice,Toulouse,FRA,0.46,2.32,150,69.6,348,278.4
56,25/02/2016,Lemon & Ginger Tea,Albuquerque,USA,0.72,3.58,329,235.56,1177.82,942.26
57,26/02/2016,Chicken Fajita Wrap,Toronto,CAN,0.99,4.97,335,332.99,1664.95,1331.96
58,27/02/2016,Still Water,Seattle,USA,0.85,4.26,321,273.49,1367.46,1093.97
59,28/02/2016,Apple Juice,Vancouver,CAN,0.96,4.78,169,161.56,807.82,646.26
60,29/02/2016,Tea,San Francisco,USA,0.97,4.83,204,197.06,985.32,788.26
61,01/03/2016,Ham & Cheese Toastie,Sønderborg,DNK,0.33,1.67,108,36.07,180.36,144.29
62,02/03/2016,Chicken Fajita Wrap,Auckland,NZL,0.67,3.33,182,121.21,606.06,484.85
63,03/03/2016,Coffee,Manchester,GBR,0.4,1.99,166,66.07,330.34,264.27
64,04/03/2016,Cheese & Pickle Sandwich,Vancouver,CAN,0.37,1.85,217,80.29,401.45,321.16
65,05/03/2016,Tuna Melt Panini,Graz,AUT,0.58,2.89,294,169.93,849.66,679.73
66,06/03/2016,Still Water,Sydney,AUS,0.8,4.01,191,153.18,765.91,612.73
67,07/03/2016,Fruit Box,Manchester,GBR,0.72,3.58,398,284.97,1424.84,1139.87
68,08/03/2016,Chicken Fajita Wrap,Cardiff,GBR,0.58,2.9,103,59.74,298.7,238.96
69,09/03/2016,BLT Sandwich,Albuquerque,USA,0.88,4.39,475,417.05,2085.25,1668.2
70,10/03/2016,Still Water,Graz,AUT,0.74,3.69,234,172.69,863.46,690.77
71,11/03/2016,Tea,Geneva,CHE,1.03,5.15,106,109.18,545.9,436.72
72,12/03/2016,Chocolate Twist,Sydney,AUS,0.66,3.31,207,137.03,685.17,548.14
73,13/03/2016,Granola Bar,Portland,USA,0.76,3.79,229,173.58,867.91,694.33
74,14/03/2016,Toast,Dublin,IRL,0.51,2.57,466,239.52,1197.62,958.1
75,15/03/2016,Blueberry Muffin,Hamilton,NZL,0.58,2.89,136,78.61,393.04,314.43
76,16/03/2016,Green Tea,Cardiff,GBR,0.49,2.45,128,62.72,313.6,250.88
77,17/03/2016,Still Water,Hamilton,NZL,0.91,4.57,275,251.35,1256.75,1005.4
78,18/03/2016,Chocolate Twist,Manchester,GBR,0.83,4.14,422,349.42,1747.08,1397.66
79,19/03/2016,Chocolate Chip Muffin,Canberra,AUS,0.68,3.41,203,138.45,692.23,553.78
80,20/03/2016,Fruit Box,Glasgow,GBR,0.91,4.55,287,261.17,1305.85,1044.68
81,21/03/2016,BLT Sandwich,Madison,USA,0.39,1.94,448,173.82,869.12,695.3
82,22/03/2016,Porridge,Potsdam,DEU,0.54,2.71,109,59.08,295.39,236.31
83,23/03/2016,Ham & Cheese Toastie,Kirkland,USA,0.88,4.4,144,126.72,633.6,506.88
84,24/03/2016,Cheese & Pickle Sandwich,Sønderborg,DNK,0.36,1.79,457,163.61,818.03,654.42
85,25/03/2016,Sparkling Water,Salzburg,AUT,0.41,2.03,260,105.56,527.8,422.24
86,26/03/2016,Ham & Cheese Toastie,Odense,DNK,0.63,3.14,134,84.15,420.76,336.61
87,27/03/2016,Butter Croissant,London,GBR,0.86,4.31,275,237.05,1185.25,948.2
88,28/03/2016,Sparkling Water,Canberra,AUS,0.55,2.75,420,231,1155,924
89,29/03/2016,Porridge,San Diego,USA,0.81,4.07,440,358.16,1790.8,1432.64
90,30/03/2016,Apple Juice,Toronto,CAN,0.92,4.62,387,357.59,1787.94,1430.35
91,31/03/2016,Chicken Fajita Wrap,Toulouse,FRA,0.68,3.38,341,230.52,1152.58,922.06
92,01/04/2016,Lemon & Ginger Tea,Kirkland,USA,0.56,2.82,322,181.61,908.04,726.43
93,02/04/2016,Apple Juice,Hamburg,DEU,0.36,1.8,128,46.08,230.4,184.32
