Order ID,Date,Product,Town,Country Code,  UnitCost  ,  UnitPrice  ,SalesQuantity, TotalCost , TotalPrice ,TotalProfit
439694,01/01/2018,Chocolate Chip Muffin,Seattle,USA,0.32,1.62,87,28.19,140.94,112.75
439695,02/01/2018,Orange Juice,Galway,IRL,0.39,1.97,336,132.38,661.92,529.54
439696,03/01/2018,Orange Juice,Austin,USA,0.56,2.81,89,50.02,250.09,200.07
439697,04/01/2018,Ham & Cheese Toastie,Seattle,USA,1.09,5.45,174,189.66,948.3,758.64
439698,05/01/2018,Apple Juice,Potsdam,DEU,0.93,4.64,144,133.63,668.16,534.53
439699,06/01/2018,Toast,Lausanne,CHE,0.85,4.23,332,280.87,1404.36,1123.49
439700,07/01/2018,Almond Croissant,Seattle,USA,0.97,4.87,153,149.02,745.11,596.09
439701,08/01/2018,Orange Juice,Brussels,BEL,0.97,4.83,74,71.48,357.42,285.94
439702,09/01/2018,Butter Croissant,Stockholm,SWE,0.42,2.1,80,33.6,168,134.4
439703,10/01/2018,Peach Juice,Southampton,GBR,1.04,5.18,347,359.49,1797.46,1437.97
439704,11/01/2018,Green Tea,Boston,USA,1.03,5.13,157,161.08,805.41,644.33
439705,12/01/2018,Tomato Juice,Cardiff,GBR,0.51,2.55,197,100.47,502.35,401.88
439706,13/01/2018,Toast,Southampton,GBR,0.49,2.44,204,99.55,497.76,398.21
439707,14/01/2018,Lemon & Ginger Tea,Paris,FRA,1.02,5.08,372,377.95,1889.76,1511.81
439708,15/01/2018,Chocolate Twist,Stockholm,SWE,0.46,2.29,105,48.09,240.45,192.36
439709,16/01/2018,Peach Juice,Graz,AUT,0.63,3.15,296,186.48,932.4,745.92
439710,17/01/2018,Still Water,Lille,FRA,0.45,2.25,241,108.45,542.25,433.8
439711,18/01/2018,Fruit Box,Austin,USA,1.06,5.28,298,314.69,1573.44,1258.75
439712,19/01/2018,Chicken Fajita Wrap,Cardiff,GBR,0.54,2.71,142,76.96,384.82,307.86
439713,20/01/2018,Chicken Fajita Wrap,Munich,DEU,0.89,4.45,75,66.75,333.75,267
439714,21/01/2018,BLT Sandwich,Portland,USA,1,5,213,213,1065,852
439715,22/01/2018,Lemon & Ginger Tea,Lille,FRA,0.34,1.71,226,77.29,386.46,309.17
439716,23/01/2018,Sparkling Water,Gdańsk,POL,0.78,3.89,158,122.92,614.62,491.7
439717,24/01/2018,Tuna Melt Panini,Vancouver,CAN,0.98,4.88,217,211.79,1058.96,847.17
